abiotic stress	非生物的ストレス
abscisic acid	アブシシン酸
accession	系統
acclimation	順化
active tillering stage	分げつ盛期
adaptation	適応
aerial photography	航空写真
aerial roots	気根
aeroponics	空中栽培
agricultural cooperative	農業協同組合
agricultural economics	農業経済学
agricultural engineering	農業工学
agricultural extension	農業普及
agricultural labor	農業労働力
agricultural mechanization	農業機械化
agricultural policy	農業政策
agricultural productivity	農業生産性
agricultural robots	農業用ロボット
agricultural subsidy	農業補助金
agroecosystem	農業生態系
agroecosystem complexity	農業生態系の複雑性
agroecosystem management	農業生態系管理
agroforestry	アグロフォレストリー
agronomic traits	農業形質
ai-based crop improvement	AIベース作物改良
allelopathic interaction	アレロパシー相互作用
allelopathy	アレロパシー
alternate bearing	隔年結果
amylose content	アミロース含量
anther culture	葯培養
anthesis	開花期
antioxidant capacity	抗酸化能
antioxidant network	抗酸化ネットワーク
antioxidant system	抗酸化システム
apical dominance	頂芽優勢
apical meristem	頂端分裂組織
apomixis	無配生殖
appearance quality	外観品質
artificial intelligence	人工知能
artificial selection	人為選択
assimilate partitioning	同化産物分配
assimilate partitioning control	同化産物分配制御
assimilation rate	同化速度
auricle	葉耳
autogamy	自家受精
automated irrigation	自動灌漑
automated steering	自動操舵
autonomous vehicles	自動運転車両
auxin transport	オーキシン輸送
available water capacity	有効水分容量
awns	芒
axillary bud	腋芽
backcross	戻し交配
bacterial leaf blight	白葉枯病
bakanae disease	馬鹿苗病
basal application	基肥
base temperature	基準温度
beneficial microbe association	有益微生物共生
big data analytics	ビッグデータ分析
biodiversity	生物多様性
biofortification	生物学的栄養強化
biological control	生物的防除
biological nitrogen fixation	生物的窒素固定
biological yield	生物収量
biomass accumulation	バイオマス蓄積
biomass allocation	バイオマス分配
biomass partitioning	バイオマス分配
biomass sensing	バイオマスセンシング
biosafety	バイオセーフティ
biosecurity	バイオセキュリティ
biotic stress	生物的ストレス
blast disease	いもち病
blockchain technology	ブロックチェーン技術
booting stage	穂ばらみ期
border effect	境界効果
bordering	畦畔
bottom dressing	追肥
branching	分枝
breaking dormancy	休眠打破
breeding	育種
breeding population	育種集団
breeding value	育種価
brown planthopper	トビイロウンカ
bulk breeding	集団育種法
bulk density	容積重
bunch type	房型
bunching	分げつ
calcium deficiency	カルシウム欠乏
calcium signaling	カルシウムシグナリング
calvin cycle	カルビン回路
cam pathway	CAM経路
canopy	群落
canopy architecture	群落構造
canopy cover	群落被覆
canopy development	群落発達
canopy light interception	群落光遮断
canopy photosynthesis	群落光合成
canopy sensing	キャノピーセンシング
canopy structure	群落構造
carbon allocation	炭素分配
carbon allocation pattern	炭素分配パターン
carbon fixation	炭素固定
carbon isotope discrimination	炭素同位体分別
carbon sequestration	炭素隔離
carbon use efficiency	炭素利用効率
carbon-nitrogen balance	炭素・窒素バランス
cash crop	換金作物
cell cycle regulation	細胞周期制御
cell differentiation	細胞分化
cell division control	細胞分裂制御
cell elongation	細胞伸長
cell polarity	細胞極性
cell wall extensibility	細胞壁伸展性
cell wall modification	細胞壁修飾
cellular energy balance	細胞エネルギー収支
cellular homeostasis	細胞恒常性
cellular stress response	細胞ストレス応答
center of origin	起源地
certified seed	認証種子
chalky grain	白未熟粒
chemical fertilizer	化学肥料
chlorophyll content	クロロフィル含量
chlorophyll fluorescence	クロロフィル蛍光
chlorosis	黄化症
chromatin remodeling	クロマチン再構成
circadian rhythm	概日リズム
cisgenesis	シスジェネシス
climate change adaptation	気候変動適応
climate-smart agriculture	気候スマート農業
clonal propagation	クローン増殖
clonal selection	クローン選抜
cloud computing	クラウドコンピューティング
cluster analysis	クラスター分析
cold acclimation	低温順化
cold injury	冷害
cold resistance	耐冷性
cold storage	低温貯蔵
cold stress	低温ストレス
cold tolerance	耐寒性
combining ability	組合せ能力
community-supported agriculture	地域支援型農業
competition response	競争応答
compost	堆肥
conservation agriculture	保全農業
conservation tillage	保全耕作
constraints analysis	制限要因分析
consumptive use	消費水量
contour farming	等高線耕作
controlled atmosphere storage	制御気体貯蔵
controlled environment agriculture	環境制御型農業
conventional farming	慣行農業
cooking quality	炊飯品質
core collection	コアコレクション
correlation analysis	相関分析
cover cropping	被覆作物栽培
cracked grain	胴割粒
crop calendar	作物暦
crop coefficient	作物係数
crop density	栽植密度
crop development stage	作物発育段階
crop diversification	作物多様化
crop growth rate	作物成長速度
crop improvement	作物改良
crop load	着果負担
crop management	作物管理
crop modeling	作物モデリング
crop monitoring	作物モニタリング
crop phenology	作物生育相
crop phenotyping	作物フェノタイピング
crop protection	作物保護
crop residue management	作物残渣管理
crop response	作物反応
crop rotation	輪作
crop scouting	作物観察
crop season	作期
crop simulation	作物シミュレーション
crop water requirement	作物必要水量
crop wild relatives	作物の野生近縁種
crop-soil interaction	作物-土壌相互作用
cropping intensity	作付け強度
cropping pattern	作付様式
cropping system	作付体系
cross pollination	他家受粉
cross protection	交差防御
cross-compatibility	交雑親和性
cultivation	栽培
cultivated area	作付面積
cultivar	品種
culm strength	稈強度
culm wall thickness	稈壁厚
critical growth stage	重要生育期
damage assessment	被害評価
dark respiration	暗呼吸
data mining	データマイニング
days to heading	出穂日数
days to maturity	成熟日数
dead heart	心枯れ
decision support system	意思決定支援システム
deep learning	深層学習
deep planting	深播
deep water rice	深水稲
deficiency symptoms	欠乏症状
degree day	有効積算温度
dehiscence	裂開
dense planting	密植
desertification	砂漠化
desiccation tolerance	乾燥耐性
deterioration	品質劣化
determinate growth	有限成長
determinacy	決定性
development rate	発育速度
developmental phase	発育相
developmental phase transition	発達相転換
developmental stages	発育段階
digital agriculture	デジタル農業
digital farming	デジタル農業
digital twin	デジタルツイン
direct seeding	直播
disease assessment	病害評価
disease cycle	病害サイクル
disease escape	病害回避
disease forecasting	病害予察
disease index	罹病度
disease resistance	耐病性
disease severity	発病度
dispersal	分散
dna marker	DNAマーカー
dna methylation	DNAメチル化
domestication	栽培化
dormancy	休眠
dormancy breaking	休眠打破
double cropping	二毛作
doubled haploid	倍加半数体
drainage	排水
drought avoidance	乾燥回避
drought escape	乾燥逃避
drought hardening	乾燥馴化
drought index	乾燥指数
drought injury	干害
drought resistance	耐乾性
drought stress	乾燥ストレス
drought susceptibility	乾燥感受性
drought tolerance	耐乾性
dry farming	畑作
dry matter accumulation	乾物蓄積
dry matter content	乾物率
dry matter distribution	乾物分配
dry matter partitioning	乾物分配
drying rate	乾燥速度
early maturity	早熟性
early warning system	早期警戒システム
eating quality	食味
ecological adaptation	生態適応
ecological interaction	生態学的相互作用
ecosystem resilience	生態系レジリエンス
ecosystem service	生態系サービス
ecotype	生態型
edge computing	エッジコンピューティング
effective tillering	有効分げつ
electrical conductivity	電気伝導度
electron transport	電子伝達
elongation stage	伸長期
embryo culture	胚培養
embryo rescue	胚救済
embryogenesis	胚発生
emergence rate	出芽率
endophyte	内生菌
endosperm	胚乳
endosperm development	胚乳発達
energy balance	エネルギー収支
environmental adaptation	環境適応
environmental stress	環境ストレス
enzyme activity	酵素活性
epigenetic regulation	エピジェネティック制御
establishment	活着
ethylene production	エチレン生成
evapotranspiration	蒸発散
ex situ conservation	域外保全
excess moisture	過湿
experimental design	実験計画
extension service	普及サービス
factorial experiment	要因実験
fair trade	フェアトレード
fallowing	休耕
false smut	稲黄化萎縮病
farm management	農業経営
farmers' market	農産物直売所
farming system	農業システム
fertilization	施肥
fertilizer efficiency	肥料効率
fertilizer placement	施肥位置
fertilizer recommendation	施肥推奨
field capacity	圃場容水量
field emergence	圃場出芽
field loss	圃場損失
field mapping	圃場マッピング
field performance	圃場性能
field plot	試験区
field screening	圃場選抜
field trial	圃場試験
filled grain	充実粒
flag leaf	止葉
flag leaf stage	止葉期
flooding injury	湿害
flooding stress	冠水ストレス
flooding tolerance	耐湿性
floral initiation	花芽分化
floral organ development	花器官発達
flower initiation	花芽分化
flowering	開花
flowering date	開花期
flowering duration	開花期間
fluorescence imaging	蛍光イメージング
fodder crop	飼料作物
foliar application	葉面散布
foliar diagnosis	葉分析
foliar fertilization	葉面施肥
foliar spray	葉面散布
food miles	フードマイレージ
food safety	食品安全
food science	食品科学
food security	食料安全保障
food sovereignty	食料主権
forage crop	飼料作物
forcing	促成栽培
forecast model	予測モデル
frost damage	凍害
frost resistance	耐凍性
fruit development	果実発達
fruit drop	落果
fruit set	結実
fungicide resistance	殺菌剤耐性
furrow irrigation	畝間灌漑
gene bank	遺伝子銀行
gene expression profile	遺伝子発現プロファイル
gene flow	遺伝子流動
gene pool	遺伝子プール
general combining ability	一般組合せ能力
genetic advance	遺伝的改良量
genetic analysis	遺伝分析
genetic base	遺伝的基盤
genetic correlation	遺伝相関
genetic diversity	遺伝的多様性
genetic drift	遺伝的浮動
genetic enhancement	遺伝的増進
genetic erosion	遺伝的浸食
genetic gain	遺伝的改良量
genetic map	遺伝地図
genetic marker	遺伝標識
genetic modification	遺伝子組換え
genetic resources	遺伝資源
genetic variance	遺伝分散
genetic vulnerability	遺伝的脆弱性
genetics	遺伝学
genome editing	ゲノム編集
genomic selection	ゲノミック選抜
genotype by environment interaction	遺伝子型環境相互作用
genotype-environment interaction	遺伝子型環境相互作用
germination	発芽
germination percentage	発芽率
germination rate	発芽速度
germplasm	遺伝資源
germplasm collection	遺伝資源収集
GIS	地理情報システム
gmo	遺伝子組換え生物
grain abortion	穎花退化
grain development	子実発達
grain filling	登熟
grain filling duration	登熟期間
grain filling rate	登熟速度
grain hardness	粒硬度
grain moisture	子実水分
grain number	粒数
grain protein content	子実タンパク質含量
grain quality	粒質
grain shape	粒形
grain size	粒大
grain weight	粒重
grain yield	子実収量
green manure	緑肥
green revolution	緑の革命
greenhouse cultivation	温室栽培
greenhouse effect	温室効果
greenhouse gas emissions	温室効果ガス排出
grid sampling	格子点採取法
growing degree days	有効積算温度
growing season	生育期間
growth analysis	生育解析
growth chamber	グロースチャンバー
growth duration	生育期間
growth habit	生育習性
growth index	生育指数
growth model	生育モデル
growth rate	生育速度
growth regulator	生長調節剤
growth rhythm	生育リズム
growth stage	生育段階
growth type	生育型
hardening	順化
harvest date	収穫期
harvest index	収穫指数
harvest loss	収穫損失
harvest maturity	収穫適期
harvesting	収穫
heading	出穂
heading date	出穂日
heading stage	出穂期
heat accumulation	積算温度
heat stress	高温ストレス
heat tolerance	耐暑性
heavy metal stress	重金属ストレス
herbicide resistance	除草剤抵抗性
heritability	遺伝率
heterosis	雑種強勢
high yielding variety	多収品種
hill planting	株立て
hormone balance	ホルモンバランス
host resistance	宿主抵抗性
hybrid	雑種
hybrid vigor	雑種強勢
hydroponics	水耕栽培
hyperspectral imaging	ハイパースペクトル画像
image analysis	画像解析
immature grain	未熟粒
immediate selection	早期選抜
improved variety	改良品種
in vitro culture	試験管内培養
inbred line	自殖系統
inbreeding	近交
inbreeding depression	近交弱勢
indeterminate growth	無限成長
induced mutation	誘発突然変異
infestation	被害
inheritance	遺伝
insect pest	害虫
insect resistance	耐虫性
insecticide resistance	殺虫剤耐性
integrated farming	総合的農業
integrated pest management	総合的病害虫管理
intensive farming	集約農業
internode	節間
internode elongation	節間伸長
interpollination	交雑受粉
intraspecific competition	種内競争
invasive species	侵入種
ion balance	イオンバランス
iron chlorosis	鉄欠乏症
iron deficiency	鉄欠乏
irrigation	灌漑
irrigated agriculture	灌漑農業
irrigation efficiency	灌漑効率
irrigation interval	灌漑間隔
irrigation requirement	灌漑要求量
irrigation scheduling	灌漑スケジュール
isolation distance	隔離距離
juvenile phase	幼若相
kneeing ability	膝枯性
laboratory test	室内試験
land preparation	耕起整地
land productivity	土地生産性
land use	土地利用
landrace	在来品種
late maturity	晩生
lateral root	側根
leaching	溶脱
leaf age	葉齢
leaf angle	葉の角度
leaf area	葉面積
leaf area duration	葉面積期間
leaf area index	葉面積指数
leaf blade	葉身
leaf chlorophyll	葉緑素
leaf color	葉色
leaf development	葉の発達
leaf elongation	葉の伸長
leaf emergence	葉の抽出
leaf expansion	葉の展開
eaf position	葉位
leaf roll	葉巻
leaf senescence	葉の老化
leaf sheath	葉鞘
leaf spot	斑点病
leaf temperature	葉温
leaf thickness	葉厚
leaf water potential	葉の水ポテンシャル
leaf wilting	葉の萎凋
leaf-stem ratio	葉茎比
leaffolder	葉巻虫
light adaptation	光適応
light compensation point	光補償点
light intensity	光強度
light interception	受光
light penetration	光透過
light quality	光質
light response curve	光応答曲線
light saturation	光飽和
light use efficiency	光利用効率
lignification	木質化
line selection	系統選抜
linkage analysis	連鎖解析
linkage group	連鎖群
linkage map	連鎖地図
local adaptation	地域適応
local variety	地方品種
lodging	倒伏
lodging resistance	耐倒伏性
long day plant	長日植物
low temperature	低温
low temperature germination	低温発芽
low temperature tolerance	低温耐性
machine harvesting	機械収穫
machine learning	機械学習
machine transplanting	機械移植
macronutrient	多量栄養素
main crop	主作物
maintenance breeding	維持育種
male sterility	雄性不稔
management practice	栽培管理
manual harvesting	手刈り
marker assisted selection	マーカー支援選抜
mass selection	集団選抜
maternal effect	母性効果
maturation	成熟
maturity date	成熟期
maturity group	成熟群
mechanical damage	機械的損傷
mechanical harvesting	機械収穫
mechanization	機械化
meristem culture	分裂組織培養
metabolic engineering	代謝工学
metabolome	メタボローム
microclimate	微気象
microelement	微量要素
micronutrient	微量栄養素
mineral deficiency	無機養分欠乏
mineral nutrition	無機栄養
minimal tillage	省耕起
minimum tillage	最小耕起
mixed cropping	混作
moisture content	水分含量
moisture stress	水分ストレス
molecular breeding	分子育種
molecular marker	分子マーカー
monoculture	単作
morphological character	形態形質
morphological trait	形態特性
multiple cropping	多毛作
multiple resistance	複合抵抗性
mutation	突然変異
mutation breeding	突然変異育種
natural selection	自然選択
near infrared spectroscopy	近赤外分光法
neck blast	穂いもち
nematode resistance	線虫抵抗性
net assimilation rate	純同化率
net photosynthesis	純光合成
nitrogen application	窒素施用
nitrogen balance	窒素収支
nitrogen content	窒素含量
nitrogen deficiency	窒素欠乏
nitrogen efficiency	窒素効率
nitrogen fertilizer	窒素肥料
nitrogen fixation	窒素固定
nitrogen metabolism	窒素代謝
nitrogen response	窒素応答
nitrogen stress	窒素ストレス
nitrogen use efficiency	窒素利用効率
node	節
non-allelic interaction	非対立遺伝子間相互作用
non-lodging	耐倒伏性
normal distribution	正規分布
notched-belly grain	腹白粒
nursery bed	育苗床
nursery management	育苗管理
nutrient absorption	養分吸収
nutrient availability	養分有効性
nutrient balance	養分バランス
nutrient content	養分含量
nutrient deficiency	養分欠乏
nutrient management	養分管理
nutrient solution	培養液
nutrient status	養分状態
nutrient stress	養分ストレス
nutrient transport	養分輸送
nutrient uptake	養分吸収
nutritional disorder	栄養障害
off-season	端境期
off-type	異型個体
organic farming	有機農業
organic fertilizer	有機質肥料
organic matter	有機物
osmotic adjustment	浸透調節
osmotic potential	浸透ポテンシャル
outcrossing	他殖
oxidative stress	酸化ストレス
panicle	穂
panicle blast	穂いもち
panicle development	穂発達
panicle emergence	穂出し
panicle exsertion	穂首抽出
panicle length	穂長
panicle number	穂数
panicle structure	穂の構造
panicle type	穂型
panicle weight	穂重
parasitic weed	寄生雑草
parental line	親系統
partitioning coefficient	分配係数
path analysis	パス解析
pathogen	病原体
pathogenicity	病原性
pathotype	病原型
pattern analysis	パターン解析
pedigree	系譜
pedigree breeding	系統育種
pedigree selection	系統選抜
perennial crop	永年作物
pest control	有害生物防除
pest management	有害生物管理
pest resistance	有害生物抵抗性
pesticide application	農薬散布
pesticide residue	農薬残留
ph stress	pH ストレス
phenological development	生育相発達
phenology	生育相
phenotype	表現型
phenotypic correlation	表現型相関
phenotypic plasticity	表現型可塑性
phenotypic stability	表現型安定性
phenotypic variation	表現型変異
phosphorus deficiency	リン欠乏
phosphorus efficiency	リン効率
photoperiod	日長
photoperiod sensitivity	日長感受性
photoperiodic response	日長反応
photosynthate	光合成産物
photosynthesis rate	光合成速度
photosynthetic capacity	光合成能力
photosynthetic efficiency	光合成効率
physiological maturity	生理的成熟
physiological trait	生理形質
phytochrome	フィトクロム
phytotoxicity	植物毒性
plant height	草高
plant length	草丈
planting date	播種期
planting density	栽植密度
planting depth	播種深度
planting method	播種方法
planting pattern	播種様式
planting rate	播種量
planting time	播種時期
plasticity	可塑性
pollen fertility	花粉稔性
pollen sterility	花粉不稔
pollen viability	花粉活力
pollination	受粉
population density	個体群密度
population structure	個体群構造
post-emergence	出芽後
post-harvest handling	収穫後処理
potassium deficiency	カリウム欠乏
precision farming	精密農業
precocity	早熟性
predator	捕食者
primary tillage	基本耕起
priming	プライミング
process control	工程管理
production cost	生産費
production system	生産システム
productive tiller	有効分げつ
productivity	生産性
progeny	後代
progeny test	後代検定
propagation	繁殖
protein content	タンパク質含量
protein quality	タンパク質品質
proteome	プロテオーム
proximal sensing	近接センシング
pubescence	毛茸
puddling	代かき
pure line	純系
pure line selection	純系選抛
purification	純化
pythium blight	ピシウム病
qpcr	定量的PCR
qtl analysis	QTL解析
qualitative resistance	質的抵抗性
qualitative trait	質的形質
quality assurance	品質保証
quality control	品質管理
quality index	品質指標
quantitative inheritance	量的遺伝
quantitative resistance	量的抵抗性
quantitative trait	量的形質
rainfed agriculture	天水農業
rainfed farming	天水農業
random selection	任意選抛
randomization	無作為化
randomized block	無作為化区画
ratoon	株出し
ratooning ability	株出し能力
recessive gene	劣性遺伝子
reclamation	開墾
recombination	組換え
recovery ability	回復力
red rice	赤米
reduced tillage	省耕起
regeneration	再生
regional adaptation	地域適応
regional trial	地域試験
regression analysis	回帰分析
relative growth rate	相対成長速度
relative humidity	相対湿度
remote sensing	リモートセンシング
replication	反復
reproductive stage	生殖生長期
research plot	試験区
residual effect	残効
resistance breeding	抵抗性育種
resistance gene	抵抗性遺伝子
resistance mechanism	抵抗性機構
resource allocation	資源分配
resource use efficiency	資源利用効率
respiration rate	呼吸速度
response curve	反応曲線
rice blast	いもち病
rice bran	米糠
rice field	水田
rice husk	籾殻
rice mill	精米所
rice quality	米質
rice straw	稲わら
ridge planting	畝立て栽培
ripening	成熟
ripening period	成熟期
root activity	根活性
root architecture	根系構造
root biomass	根系バイオマス
root development	根の発達
root distribution	根系分布
root elongation	根伸長
root exudate	根分泌物
root growth	根成長
root length	根長
root mass	根重
root morphology	根形態
root penetration	根貫入
root pressure	根圧
root pruning	根切り
root rot	根腐病
root system	根系
root tip	根端
root zone	根域
root-knot nematode	根こぶ線虫
root-shoot ratio	根冠比
rootstock	台木
rotation	輪作
row spacing	条間
runoff	表面流去
rust disease	さび病
salinity stress	塩ストレス
salinity tolerance	耐塩性
salt injury	塩害
salt stress	塩ストレス
salt tolerance	耐塩性
sample size	標本サイズ
sampling error	抽出誤差
satellite imagery	衛星画像
scab	そうか病
screening	選抜
seasonal variation	季節変動
second crop	二期作
secondary tillage	二次耕起
seed biology	種子生物学
seed certification	種子認証
seed coat	種皮
seed development	種子発達
seed disinfection	種子消毒
seed dormancy	種子休眠
seed dressing	種子処理
seed filling	種子充実
seed germination	種子発芽
seed grade	種子等級
seed growth	種子成長
seed hardening	種子硬化
seed health	種子健全性
seed lot	種子ロット
seed maturation	種子成熟
seed multiplication	種子増殖
seed production	種子生産
seed purity	種子純度
seed quality	種子品質
seed rate	播種量
seed set	結実
seed size	種子サイズ
seed storage	種子貯蔵
seed treatment	種子処理
seed vigor	種子活力
seedbed preparation	播種床準備
seedling	苗
seedling age	苗齢
seedling blight	苗立枯病
seedling emergence	出芽
seedling establishment	苗立ち
seedling growth	苗成長
seedling stage	苗期
seedling vigor	苗勢
selection	選抜
selection criteria	選抜基準
selection cycle	選抜周期
selection differential	選抜差
selection efficiency	選抜効率
selection index	選抜指数
selection intensity	選抜強度
selection method	選抜方法
selection pressure	選抜圧
selection response	選抜反応
self-fertilization	自家受精
self-incompatibility	自家不和合性
self-pollination	自家受粉
senescence	老化
sensor network	センサーネットワーク
sequential cropping	連続栽培
shattering	脱粒
shattering resistance	耐脱粒性
shelf life	保存期間
shoot development	シュート発達
shoot elongation	シュート伸長
shoot growth	シュート成長
short day plant	短日植物
silking	絹糸抽出
single cross	単交雑
sink capacity	シンク容量
sink limitation	シンク制限
sink strength	シンク強度
site-specific management	圃場特異的管理
smart agriculture	スマート農業
smut disease	黒穂病
soil acidity	土壌酸性
soil aeration	土壌通気
soil amendment	土壌改良材
soil analysis	土壌分析
soil bacteria	土壌細菌
soil classification	土壌分類
soil compaction	土壌緊密化
soil conservation	土壌保全
soil fertility	土壌肥沃度
soil management	土壌管理
soil mapping	土壌図作成
soil moisture	土壌水分
soil organic matter	土壌有機物
soil pH	土壌pH
soil profile	土壌断面
soil quality	土壌品質
soil sampling	土壌採取
soil science	土壌学
soil structure	土壌構造
soil survey	土壌調査
soil temperature	地温
soil testing	土壌検定
soil texture	土性
soil type	土壌型
soil water	土壌水分
soil-borne disease	土壌病害
somaclonal variation	組織培養変異
source capacity	ソース能力
source limitation	ソース制限
source strength	ソース強度
source-sink balance	ソース・シンク均衡
source-sink ratio	ソース・シンク比
spatial analysis	空間分析
spatial distribution	空間分布
spatial variability	空間変動性
specific combining ability	特定組合せ能力
spectral analysis	分光分析
spikelet	穎花
spikelet fertility	穎花稔実
spikelet number	穎花数
spikelet sterility	穎花不稔
sprinkler irrigation	スプリンクラー灌漑
stability analysis	安定性分析
stalk rot	茎腐病
stand establishment	苗立ち確立
stem borer	茎葉虫
stem elongation	茎伸長
stem rot	茎腐病
sterility	不稔
stomatal conductance	気孔コンダクタンス
stomatal resistance	気孔抵抗
storage condition	貯蔵条件
storage disease	貯蔵病害
storage life	貯蔵寿命
storage loss	貯蔵損失
storage period	貯蔵期間
storage protein	貯蔵タンパク質
storage temperature	貯蔵温度
stratification	層積
stress avoidance	ストレス回避
stress index	ストレス指数
stress resistance	ストレス抵抗性
stress tolerance	ストレス耐性
submerged cultivation	湛水栽培
subsistence farming	自給農業
subspecies	亜種
substrate	基質
sucrose metabolism	ショ糖代謝
summer crop	夏作
supplemental irrigation	補助灌漑
survival rate	生存率
susceptibility	感受性
sustainable agriculture	持続可能な農業
symbiotic nitrogen fixation	共生窒素固定
synchronous flowering	同時開花
synthetic variety	合成品種
system analysis	システム分析
systematic sampling	系統的採取
systems approach	システムズアプローチ
tasseling	雄穂抽出
taxonomy	分類学
temperature response	温度反応
temperature stress	温度ストレス
terminal drought	終期乾燥
test cross	検定交配
test weight	容積重
thermal stress	熱ストレス
thermal time	温度時間
thermotolerance	耐熱性
thin layer drying	薄層乾燥
thinning	間引き
threshold level	閾値
tillage	耕起
tiller	分げつ
tiller number	分げつ数
tillering	分げつ
tillering ability	分げつ能力
tillering capacity	分げつ力
tillering pattern	分げつパターン
tissue culture	組織培養
tolerance level	耐性レベル
top dressing	追肥
topography	地形
toxicity	毒性
trace element	微量元素
traceability	トレーサビリティ
trait	形質
trans-generational	世代間
transcriptome	トランスクリプトーム
transgenic plant	遺伝子組換え植物
transpiration rate	蒸散速度
transplant shock	植え傷み
transplanting	移植
transport process	輸送過程
trisomic	三染色体
tropical adaptation	熱帯適応
tuber formation	塊茎形成
uniformity	均一性
upland cultivation	畑地栽培
variety	品種
variety release	品種登録
variety trial	品種試験
vegetative growth	栄養成長
vegetative phase	栄養成長期
vegetative propagation	栄養繁殖
vernalization	春化
viability	生存力
vigorous growth	旺盛生育
viral disease	ウイルス病
virus resistance	ウイルス抵抗性
visual symptoms	可視症状
volunteer plant	自生株
water balance	水収支
water content	含水量
water deficit	水分不足
water holding capacity	保水力
water logging	湿害
water management	水管理
water potential	水ポテンシャル
water requirement	必要水量
water stress	水ストレス
water table	地下水位
water use efficiency	水利用効率
waterlogging tolerance	耐湿性
wax content	ロウ含量
weather damage	気象害
weed competition	雑草競争
weed control	雑草防除
weed management	雑草管理
weed science	雑草学
weeding	除草
weighing lysimeter	重量ライシメーター
wetland rice	水稲
white head	白穂
whole crop	全体収穫
wild species	野生種
wilting	萎凋
wilting point	萎凋点
wind damage	風害
winter crop	冬作
winter hardiness	耐冬性
winter killing	冬枯れ
xerophyte	乾生植物
yield	収量
yield component	収量構成要素
yield gap	収量ギャップ
yield loss	収量損失
yield plateau	収量限界
yield potential	収量ポテンシャル
yield stability	収量安定性
yield trend	収量推移
zinc deficiency	亜鉛欠乏
zonal tillage	帯状耕起